"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q4","Black",1011708,1252508,365605,137444,41731,496025,78332,133371,240800,152558,81324,6918
"1992:Q4","Hispanic",452334,639599,252335,74625,11713,141385,79856,79686,187265,137100,47314,2852
"1992:Q4","Other",1078581,1276391,351026,107139,96791,270467,200958,250010,197810,155095,32178,10537
"1993:Q1","White",21876573,25014337,6602297,1875333,3224620,5235303,2720037,5356747,3137764,2343207,640024,154533
"1993:Q1","Black",1002111,1268816,388862,143469,44496,490328,70329,131333,266705,172722,87181,6802
"1993:Q1","Hispanic",423576,645431,269559,76068,9253,143990,71172,75389,221855,172375,46592,2888
"1993:Q1","Other",1068139,1278112,393336,111530,98782,260366,184205,229892,209973,165884,33465,10624
"1993:Q2","White",22178963,25387371,6708204,1909910,3289445,5339814,2778643,5361355,3208408,2406176,646824,155408
"1993:Q2","Black",990172,1261846,385860,141518,46362,492287,65937,129881,271674,174297,90915,6461
"1993:Q2","Hispanic",420568,634014,267201,75458,7354,145568,65718,72716,213446,164357,46157,2933
"1993:Q2","Other",1034952,1242562,382639,109367,101001,261949,166419,221188,207610,162998,34766,9846
"1993:Q3","White",22597385,25895270,6827310,1946279,3450434,5451902,2834237,5385108,3297885,2467176,664189,166519
"1993:Q3","Black",980466,1256516,379688,139312,48722,495315,63097,130381,276050,174597,95099,6354
"1993:Q3","Hispanic",419280,624236,260983,73703,8556,148377,60851,71765,204956,155414,46519,3023
"1993:Q3","Other",1004189,1211214,364152,106584,104519,266686,152924,216349,207025,160829,36861,9335
"1993:Q4","White",23014948,26394616,6903622,1981535,3619378,5528555,2899114,5462412,3379668,2501229,704137,174302
"1993:Q4","Black",983852,1268179,386726,140099,51008,502554,61191,126602,284328,180245,97876,6207
"1993:Q4","Hispanic",420269,626624,264986,73963,9637,151854,56342,69842,206354,157039,46271,3044
"1993:Q4","Other",999067,1206600,366191,106482,109930,277434,135556,211006,207532,160665,37886,8981
"1994:Q1","White",23125602,26478398,6902081,1997866,3460872,5597818,2958172,5561589,3352796,2476257,698924,177615
"1994:Q1","Black",996995,1301524,408529,142450,49656,505121,64201,131566,304529,197959,100579,5991
"1994:Q1","Hispanic",409517,643190,279867,76670,7550,151207,59216,68681,233674,185133,45426,3115
"1994:Q1","Other",1026873,1244123,393537,109051,105549,288391,131827,215770,217250,170121,38947,8182
"1994:Q2","White",23235879,26667231,6977486,2030101,3387201,5695773,2996365,5580306,3431353,2517803,732131,181418
"1994:Q2","Black",1007191,1318301,416143,142518,48494,499496,68161,143488,311110,203130,102091,5888
"1994:Q2","Hispanic",427954,660526,281351,77607,9223,152063,62967,77315,232572,184697,44755,3121
"1994:Q2","Other",1047075,1263336,395188,109323,99420,295172,145269,218963,216261,168992,39603,7666
"1994:Q3","White",23526869,27067836,7090139,2070729,3452592,5798728,3033011,5622636,3540967,2589241,769715,182011
"1994:Q3","Black",1017614,1327065,411249,140909,48544,503426,68181,154755,309451,199799,103928,5724
"1994:Q3","Hispanic",443881,660403,270354,76866,11417,157693,60453,83619,216522,168326,45130,3067
"1994:Q3","Other",1055647,1267377,375795,107995,100453,309988,145876,227271,211730,163683,41181,6866
"1994:Q4","White",23643359,27312302,7167415,2098554,3415384,5815489,3069214,5746246,3668944,2640519,834375,194049
"1994:Q4","Black",1035792,1344326,412173,139381,46959,508863,71232,165719,308534,201421,101225,5888
