"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2014:Q2","pct40to60",6030397,7768940,2316469,669337,610990,2445961,270336,1455847,1738543,1117269,599040,22234
"2014:Q2","pct20to40",3584766,4591327,1613638,480442,290868,1070209,183689,952481,1006562,583679,399560,23322
"2014:Q2","pct00to20",2035174,2665198,973282,264072,214500,318243,370111,524991,630025,267723,269645,92657
"2014:Q3","pct99to100",19736940,20672912,2783971,674873,7331364,1448705,3883796,4550203,935972,618726,73849,243397
"2014:Q3","pct80to99",38068494,44037630,9662887,1681020,8832514,11841302,4197031,7822876,5969135,4650013,1018012,301110
"2014:Q3","pct60to80",12228885,15340595,3992390,1054468,1407984,5757232,728837,2399684,3111710,2208443,849052,54215
"2014:Q3","pct40to60",6120550,7872849,2372985,676788,619371,2453399,281202,1469104,1752299,1113304,618325,20670
"2014:Q3","pct20to40",3596334,4612689,1630126,482290,283933,1057030,193255,966055,1016355,580891,411939,23524
"2014:Q3","pct00to20",2070458,2701727,974292,270407,232983,307453,383434,533159,631269,270898,272980,87391
"2014:Q4","pct99to100",20566323,21517693,2858461,694250,7641839,1479496,4050783,4792863,951370,629815,84436,237119
"2014:Q4","pct80to99",38760075,44736677,9806088,1673522,9137245,11954632,4362086,7803104,5976602,4667310,1024862,284430
"2014:Q4","pct60to80",12439912,15587448,4015891,1058410,1423071,5848063,723036,2518977,3147535,2211255,877969,58312
"2014:Q4","pct40to60",6198196,7955377,2408201,673972,607263,2469492,275785,1520665,1757181,1100977,634209,21994
"2014:Q4","pct20to40",3586641,4611310,1635948,486043,287681,1063065,196215,942358,1024669,574740,425778,24151
"2014:Q4","pct00to20",2018360,2642363,961558,273129,231302,303487,370776,502112,624003,268432,265251,90319
"2015:Q1","pct99to100",21089113,22050147,2940204,703369,7928134,1496022,4162014,4820404,961034,643600,83597,233837
"2015:Q1","pct80to99",39789564,45751597,9970025,1672154,9425838,12136846,4475586,8071148,5962033,4660997,1027494,273541
"2015:Q1","pct60to80",12469274,15618540,4060475,1062492,1436365,5843387,737169,2478653,3149266,2210406,876431,62429
"2015:Q1","pct40to60",6325289,8065622,2453265,680686,596417,2486566,285910,1562779,1740333,1082154,634968,23211
"2015:Q1","pct20to40",3640116,4653712,1647049,487417,291047,1070480,205370,952349,1013596,566738,421974,24884
"2015:Q1","pct00to20",2033233,2659618,951042,279004,230229,304032,382577,512734,626386,260168,273088,93129
"2015:Q2","pct99to100",21111408,22105699,3003170,706973,7979695,1503918,4227800,4684142,994291,653469,101304,239517
"2015:Q2","pct80to99",40153875,46167643,10183750,1680300,9461751,12225153,4557280,8059407,6013768,4688402,1038714,286652
"2015:Q2","pct60to80",12446822,15615244,4115047,1072808,1427272,5836631,747731,2415755,3168423,2217309,885642,65472
"2015:Q2","pct40to60",6401548,8160102,2517638,696283,595185,2495991,296068,1558936,1758554,1079906,655372,23277
"2015:Q2","pct20to40",3671529,4697969,1665301,494110,288805,1064339,215623,969792,1026440,563625,436882,25933
"2015:Q2","pct00to20",2079037,2707450,961855,289602,238502,298132,398663,520697,628413,261630,274474,92308
"2015:Q3","pct99to100",20534114,21537135,3064424,694150,7249734,1472242,4228156,4828430,1003021,658360,128728,215933
"2015:Q3","pct80to99",39695860,45668971,10323696,1692733,8650683,12158099,4573941,8269819,5973111,4692812,1059040,221260
"2015:Q3","pct60to80",12363783,15506754,4211640,1077763,1341314,5695145,798978,2381914,3142972,2204057,865583,73331
"2015:Q3","pct40to60",6566599,8382551,2595527,721683,623589,2489869,335850,1616034,1815952,1107944,679968,28040
"2015:Q3","pct20to40",3645458,4692375,1702394,488533,268219,1025139,236761,971328,1046918,572022,448772,26123
"2015:Q3","pct00to20",2150376,2819983,979878,297772,276394,281346,459129,525465,669607,274713,293376,101518
"2015:Q4","pct99to100",21311351,22298513,3143838,710475,7600668,1508272,4327182,5008077,987162,664327,105378,217458
"2015:Q4","pct80to99",40197899,46183432,10437735,1693001,9018237,12292292,4699541,8042626,5985533,4715766,1042778,226989
"2015:Q4","pct60to80",12648481,15805250,4284872,1088056,1360183,5812165,765600,2494373,3156768,2202376,874798,79594
"2015:Q4","pct40to60",6634222,8458334,2650606,720897,609380,2511714,315368,1650370,1824113,1130464,662957,30692
"2015:Q4","pct20to40",3668475,4710940,1725576,496207,272156,1043075,236315,937612,1042465,577776,436403,28286
"2015:Q4","pct00to20",2054954,2732948,974517,297331,272153,282208,433555,473185,677994,286079,288684,103231
"2016:Q1","pct99to100",21568674,22563049,3214168,717155,7764926,1522493,4292006,5052301,994375,677888,104725,211761
"2016:Q1","pct80to99",41011769,46988431,10579706,1698888,9187050,12447712,4719411,8355665,5976661,4721049,1046468,209144
"2016:Q1","pct60to80",12615857,15789460,4319321,1097816,1359522,5812031,748321,2452448,3173603,2209252,878415,85937
"2016:Q1","pct40to60",6738811,8551432,2693352,733542,601646,2528455,312611,1681826,1812621,1115993,663505,33122
"2016:Q1","pct20to40",3737446,4769638,1734771,503484,271322,1049852,244619,965591,1032193,570548,432796,28848
"2016:Q1","pct00to20",2092361,2767625,966837,306691,274686,282430,443525,493455,675264,279232,294358,101675
"2016:Q2","pct99to100",21906497,22936022,3295875,731241,8026276,1540811,4369582,4972237,1029525,694990,116805,217731
"2016:Q2","pct80to99",41928082,47974273,10869735,1696414,9478739,12616102,4815847,8497437,6046191,4765947,1056638,223606
"2016:Q2","pct60to80",12582889,15816591,4376722,1103380,1366714,5839416,743863,2386496,3233702,2243346,900365,89992
"2016:Q2","pct40to60",6826558,8634883,2762618,739138,590016,2544818,311357,1686936,1808325,1096180,679191,32953
"2016:Q2","pct20to40",3780449,4813605,1746012,509930,272703,1060182,250607,974169,1033155,559935,444411,28809
"2016:Q2","pct00to20",2149126,2799954,972177,315492,272946,283052,445550,510738,650828,269804,291030,89994
"2016:Q3","pct99to100",22529239,23584962,3352584,740678,8311346,1567622,4503507,5109224,1055723,698407,129865,227450
"2016:Q3","pct80to99",42795392,48887998,11000062,1700950,9804405,12829057,4956435,8597089,6092605,4771115,1071829,249661
"2016:Q3","pct60to80",12760460,16019530,4508165,1112847,1374377,5896721,738921,2388499,3259069,2230418,934278,94373
"2016:Q3","pct40to60",6893509,8765281,2863724,743466,576969,2564336,306577,1710210,1871773,1143542,695577,32654
"2016:Q3","pct20to40",3796374,4855987,1798135,512472,274116,1078268,254237,938759,1059613,574941,455750,28922
"2016:Q3","pct00to20",2144554,2794082,1005696,312350,270073,286240,439385,480339,649528,289386,286522,73621
"2016:Q4","pct99to100",22912789,23965067,3419083,741324,8442146,1590421,4586844,5185250,1052278,696512,138435,217331
"2016:Q4","pct80to99",42877473,48980033,11193350,1714081,9887376,12813438,5022080,8349708,6102560,4793009,1086117,223435
"2016:Q4","pct60to80",13094222,16378143,4611023,1123527,1412266,6008795,736041,2486492,3283921,2227965,963730,92226
"2016:Q4","pct40to60",6921132,8823831,2901316,745428,583470,2576187,299769,1717661,1902699,1161863,708143,32693
"2016:Q4","pct20to40",3777357,4857877,1818469,519559,282164,1078722,249303,909660,1080520,583773,467696,29052
"2016:Q4","pct00to20",2058892,2724352,1003707,311418,270789,283872,420341,434225,665460,298238,280023,87199
"2017:Q1","pct99to100",23682093,24720292,3499587,747118,9032857,1636670,4675833,5128227,1038199,693533,126381,218285
"2017:Q1","pct80to99",44164719,50302494,11422858,1731085,10468850,13002239,5104059,8573403,6137775,4828773,1088329,220673
