"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q2","HS",18.3,18.6,20.3,21.9,12.5,20.7,15.6,17.7,20.5,19.7,24.9,11.8
"1992:Q2","NoHS",7.7,7.4,9,9.1,3.3,6.4,6.3,8.4,5.6,4.9,8.1,3.2
"1992:Q3","College",52.8,52.5,48.3,47.1,64.1,50.4,56.7,54.3,50.8,51.6,44.5,67.1
"1992:Q3","SomeCollege",20.4,20.8,21.6,21.9,18.6,22.3,20.6,19,23.3,23.8,22.8,17.4
"1992:Q3","HS",19.1,19.3,21.3,22,13.8,20.9,16.3,18.3,20.3,19.5,24.7,11.8
"1992:Q3","NoHS",7.7,7.4,8.8,9,3.5,6.4,6.4,8.4,5.6,5.1,8,3.6
"1992:Q4","College",52.2,52,48.4,46.8,64.1,49.6,54.5,53.1,50.7,51.8,43.6,68.1
"1992:Q4","SomeCollege",20.7,21.1,21.7,22.1,18.8,22.6,21.7,19.3,23.5,23.9,23.6,16.5
"1992:Q4","HS",19.3,19.5,21,22.2,13.5,21.5,17.1,18.9,20.2,19.3,24.9,12.3
"1992:Q4","NoHS",7.8,7.5,8.9,8.9,3.6,6.3,6.7,8.8,5.5,5,8,3
"1993:Q1","College",52.4,52.2,49.2,46.1,64.6,49.3,54.6,53.1,50.9,52.1,42.6,68.3
"1993:Q1","SomeCollege",20.8,21.1,21.6,22.9,18.8,22.4,21.6,19.5,22.8,22.6,24.8,16.7
"1993:Q1","HS",19,19.3,20.6,22.4,13.2,21.4,17.1,18.8,21.2,20.7,24.5,12.4
"1993:Q1","NoHS",7.8,7.4,8.6,8.6,3.4,6.9,6.7,8.7,5.2,4.5,8.1,2.5
"1993:Q2","College",51.7,51.5,48.7,45.5,63.8,48.8,52.8,52.3,50.4,51.8,41.6,69.1
"1993:Q2","SomeCollege",21,21.3,21.8,23.2,19.4,22.2,22.3,19.6,23.2,23,25.5,15.7
"1993:Q2","HS",19.4,19.7,20.8,22.8,13.4,21.8,17.9,19.3,21.2,20.7,24.8,13
"1993:Q2","NoHS",7.9,7.6,8.7,8.4,3.5,7.2,7.1,8.8,5.2,4.6,8.1,2.2
"1993:Q3","College",50.9,50.7,48,44.9,63,48.3,51.2,51.4,49.7,51.1,40.6,69.2
"1993:Q3","SomeCollege",21.2,21.5,22,23.5,19.9,22.1,22.9,19.8,23.7,23.5,26.1,15.9
"1993:Q3","HS",19.8,20,21.2,23.3,13.6,22.1,18.5,19.8,21.3,20.8,25.1,12.8
"1993:Q3","NoHS",8.1,7.7,8.9,8.3,3.5,7.5,7.4,9,5.2,4.6,8.1,2.1
"1993:Q4","College",49.4,49.4,47.5,44.2,61.4,47.3,47.4,49.4,49.1,50.6,39.6,69.3
"1993:Q4","SomeCollege",21.7,22,22.1,23.9,20.9,22.2,24.5,20.4,23.8,23.5,26.5,15.9
"1993:Q4","HS",20.5,20.7,21.5,23.8,14.2,22.7,20,20.9,21.9,21.3,25.7,12.8
"1993:Q4","NoHS",8.3,7.9,8.9,8.1,3.6,7.7,8,9.3,5.2,4.6,8.2,2
"1994:Q1","College",49.6,49.4,47.5,43.2,60.6,47.7,47.8,50.4,48.5,50.1,38.6,69.5
"1994:Q1","SomeCollege",21.7,21.9,22,24.6,21.4,21.7,23.9,20.3,23.4,22.9,27.1,15
"1994:Q1","HS",20.6,20.9,21.7,24.3,14.5,23.1,20.1,20.5,23,22.7,26.1,13.4
"1994:Q1","NoHS",8.2,7.7,8.7,7.9,3.5,7.6,8.2,8.8,5.1,4.3,8.2,2.1
"1994:Q2","College",51.1,50.7,47,42.4,62,48.8,52.7,53.1,47.8,49.5,37.6,69.4
"1994:Q2","SomeCollege",20.9,21.2,22.1,25,20.7,21.2,21.3,19,23.5,23,27.4,14.4
"1994:Q2","HS",20.2,20.7,22.1,24.8,14.2,22.9,18.3,19.7,23.5,23.2,26.7,14
"1994:Q2","NoHS",7.8,7.4,8.8,7.8,3.1,7.2,7.6,8.2,5.1,4.4,8.3,2.2
"1994:Q3","College",51.1,50.6,46.1,41.7,61.9,48.7,54,53.4,47,48.8,36.6,69.6
"1994:Q3","SomeCollege",20.7,21.2,22.2,25.2,20.8,21.2,20.6,18.9,24,23.5,27.8,13.4
"1994:Q3","HS",20.4,20.8,22.7,25.2,14.3,23.1,17.9,19.7,23.7,23.2,27.1,14.7
"1994:Q3","NoHS",7.8,7.4,9.1,7.8,3,7,7.5,8.1,5.3,4.5,8.5,2.3
"1994:Q4","College",52.1,51.3,45.5,41,62.7,49.5,57,55.3,46.3,48.2,35.6,68.8
"1994:Q4","SomeCollege",20.2,20.8,22.1,25.6,20.4,21,19,18.1,24.2,23.7,27.7,14.2
"1994:Q4","HS",20.3,20.8,23.1,25.7,14.1,23.4,16.8,19.1,24.1,23.4,28.1,14.6
"1994:Q4","NoHS",7.4,7.1,9.3,7.7,2.7,6.2,7.2,7.5,5.5,4.7,8.6,2.4
"1995:Q1","College",52.4,51.4,45,40.3,63.3,49.2,58.9,55.5,45.7,47.6,34.9,68.8
"1995:Q1","SomeCollege",20.1,20.7,22.2,25.8,20.1,21.1,18.2,18.2,24.4,23.7,28.6,13.1
"1995:Q1","HS",20.2,20.8,23.6,26,14.1,23.3,16,18.9,24.4,24,27.7,15.5
"1995:Q1","NoHS",7.4,7.1,9.3,7.9,2.6,6.5,6.9,7.4,5.6,4.7,8.8,2.7
"1995:Q2","College",51.5,50.5,43.8,39.7,62.6,48.2,58.3,54.4,44.9,46.9,34.3,68.3
"1995:Q2","SomeCollege",20.4,21.1,22.5,25.8,20.4,21.5,18.6,18.6,25,24.4,29,12.6
"1995:Q2","HS",20.6,21.1,24.2,26.3,14.3,23.5,16.1,19.4,24.3,23.7,27.8,16
"1995:Q2","NoHS",7.5,7.3,9.4,8.2,2.6,6.9,7.1,7.6,5.8,5,9,3.1
"1995:Q3","College",50.5,49.6,43.2,39.2,61.8,46.9,56.9,53,44.4,46.5,33.7,67.2
"1995:Q3","SomeCollege",20.8,21.5,22.7,25.8,20.8,21.8,19.3,19.2,25.3,24.8,29.2,13.6
"1995:Q3","HS",21,21.4,24.7,26.4,14.6,23.8,16.5,19.9,24.2,23.5,27.9,15.8
"1995:Q3","NoHS",7.7,7.5,9.4,8.6,2.8,7.5,7.3,7.9,6.1,5.2,9.2,3.4
"1995:Q4","College",49.9,49.1,43.1,39.5,61.5,46.9,54.3,51.4,44.3,46.4,33.8,67.1
"1995:Q4","SomeCollege",21.2,21.8,22.9,25.8,21,21.8,20.7,20.2,25.6,25.2,29.4,12.9
"1995:Q4","HS",21.3,21.7,24.9,26.4,14.8,23.7,17.7,20.6,24.3,23.6,27.8,16.9
"1995:Q4","NoHS",7.6,7.4,9.2,8.2,2.7,7.6,7.3,7.9,5.8,4.9,8.9,3
"1996:Q1","College",49,48.4,43.3,39.9,60.9,46.7,51,49.4,44.5,46.4,34.1,68.1
"1996:Q1","SomeCollege",21.8,22.4,23,25.9,21.3,21.9,22.4,21.4,25.9,25.3,30.3,14
"1996:Q1","HS",21.7,22,24.9,26.3,15.1,23.8,19.2,21.3,24.2,23.8,27.1,15.5
"1996:Q1","NoHS",7.5,7.2,8.8,7.9,2.6,7.6,7.4,7.9,5.4,4.5,8.5,2.4
"1996:Q2","College",49.1,48.5,43.3,40.4,61.4,47.2,50.6,49.1,44.6,46.5,34.4,67.6
